timestamp,device_id,data_age,priority,rssi,channel_occupancy,collision_rate,neighbor_count,success,delay_used,collision_detected
2026-01-01T18:22:48.471965,2,0,2,-48,0.79,0.0,7,1,100,0
2026-01-01T18:22:48.631777,1,0,1,-56,0.93,0.0,9,0,200,1
2026-01-01T18:22:51.177574,2,0,1,-48,0.79,0.0,7,1,200,0
2026-01-01T18:22:51.328909,1,0,1,-58,0.93,0.0,9,0,200,1
2026-01-01T18:22:53.675912,2,0,3,-48,0.79,0.0,7,1,0,0
2026-01-01T18:22:53.829325,1,0,3,-57,0.93,0.1,9,0,0,1
2026-01-01T18:22:56.177256,2,0,3,-46,0.79,0.0,7,1,0,0
2026-01-01T18:22:56.330757,1,0,3,-59,0.93,0.2,9,0,0,1
2026-01-01T18:22:58.881000,2,0,1,-48,0.79,0.0,7,1,200,0
2026-01-01T18:22:59.031712,1,0,2,-60,0.93,0.3,9,0,200,1
2026-01-01T18:23:01.586460,2,0,1,-48,0.79,0.0,7,1,200,0
2026-01-01T18:23:02.031344,1,0,1,-61,0.93,0.4,9,0,500,1
2026-01-01T18:23:04.280822,2,0,1,-47,0.79,0.0,7,1,200,0
2026-01-01T18:23:04.632194,1,0,3,-59,0.93,0.5,9,0,100,1
2026-01-01T18:23:06.984245,2,0,1,-46,0.79,0.0,7,1,200,0
2026-01-01T18:23:07.633896,1,0,2,-60,0.93,0.6,9,0,500,1
2026-01-01T18:23:09.588107,2,0,2,-45,0.79,0.0,7,1,100,0
2026-01-01T18:23:10.336061,1,0,3,-60,0.93,0.7,9,0,200,1
2026-01-01T18:23:12.295443,2,0,1,-48,0.79,0.0,7,1,200,0
2026-01-01T18:23:14.835785,1,0,1,-59,0.93,0.8,9,1,2000,0
2026-01-01T18:23:14.897266,2,0,2,-47,0.79,0.0,7,0,100,1
2026-01-01T18:23:17.538034,1,0,3,-60,0.93,0.9,9,1,200,0
2026-01-01T18:23:17.599324,2,0,1,-47,0.79,0.0,7,0,200,1
2026-01-01T18:23:20.104259,2,0,3,-48,0.79,0.0,7,1,0,0
2026-01-01T18:23:20.240421,1,0,3,-60,0.93,0.9,9,0,200,1
2026-01-01T18:23:22.606544,2,0,3,-48,0.79,0.0,7,1,0,0
2026-01-01T18:23:24.742894,1,0,1,-59,0.93,0.8,9,1,2000,0
2026-01-01T18:23:25.310144,2,0,1,-48,0.79,0.1,7,0,200,1
2026-01-01T18:23:28.023754,2,0,1,-47,0.79,0.2,7,1,200,0
2026-01-01T18:23:28.244610,1,0,2,-61,0.93,0.8,9,0,1000,1
2026-01-01T18:23:30.617438,2,0,2,-45,0.79,0.2,7,1,100,0
2026-01-01T18:23:31.744166,1,0,1,-52,0.93,0.7,9,0,1000,1
2026-01-01T18:23:33.222110,2,0,2,-46,0.79,0.2,7,1,100,0
2026-01-01T18:23:34.445266,1,0,3,-63,0.93,0.6,9,1,200,0
2026-01-01T18:23:35.726619,2,0,3,-44,0.79,0.3,7,1,0,0
2026-01-01T18:23:37.148009,1,0,3,-58,0.93,0.6,9,1,200,0
2026-01-01T18:23:38.433838,2,0,2,-49,0.79,0.3,7,1,200,0
2026-01-01T18:23:39.851723,1,0,3,-53,0.93,0.6,9,1,200,0
2026-01-01T18:23:40.937555,2,0,3,-48,0.79,0.3,7,0,0,1
2026-01-01T18:23:42.856339,1,0,1,-59,0.93,0.5,9,1,500,0
2026-01-01T18:23:43.644365,2,0,1,-44,0.79,0.3,7,0,200,1
2026-01-01T18:23:45.458903,1,0,3,-63,0.93,0.4,9,1,100,0
2026-01-01T18:23:46.346227,2,0,1,-46,0.79,0.3,7,0,200,1
2026-01-01T18:23:48.158375,1,0,2,-60,0.93,0.3,9,1,200,0
2026-01-01T18:23:48.853857,2,0,3,-45,0.79,0.3,7,0,0,1
2026-01-01T18:23:50.864268,1,0,1,-58,0.93,0.3,9,1,200,0
2026-01-01T18:23:51.458194,2,0,2,-47,0.79,0.2,7,0,100,1
2026-01-01T18:23:53.565808,1,0,2,-57,0.93,0.3,9,1,200,0
2026-01-01T18:23:54.165483,2,0,1,-46,0.79,0.2,7,0,200,1
2026-01-01T18:23:56.168835,1,0,2,-58,0.93,0.2,9,1,100,0
2026-01-01T18:23:56.668785,2,0,3,-45,0.79,0.3,7,0,0,1
2026-01-01T18:23:58.670877,1,0,3,-57,0.93,0.2,9,1,0,0
2026-01-01T18:23:59.374853,2,0,2,-45,0.79,0.4,7,0,200,1
2026-01-01T18:24:01.374539,1,0,1,-56,0.93,0.2,9,1,200,0
2026-01-01T18:24:01.982813,2,0,3,-46,0.79,0.4,7,0,100,1
2026-01-01T18:24:04.078488,1,0,1,-56,0.93,0.1,9,1,200,0
2026-01-01T18:24:04.992037,2,0,2,-45,0.79,0.5,7,0,500,1
2026-01-01T18:24:06.783090,1,0,1,-57,0.93,0.0,9,1,200,0
2026-01-01T18:24:07.700704,2,0,3,-45,0.79,0.6,7,0,200,1
2026-01-01T18:24:09.496670,1,0,1,-54,0.93,0.0,9,1,200,0
2026-01-01T18:24:11.208188,2,0,1,-45,0.79,0.7,7,1,1000,0
2026-01-01T18:24:12.092570,1,0,2,-56,0.93,0.0,9,0,100,1
2026-01-01T18:24:14.694217,1,0,2,-56,0.93,0.0,9,1,100,0
2026-01-01T18:24:14.713624,2,0,2,-45,0.79,0.8,7,0,1000,1
2026-01-01T18:24:17.398377,1,0,1,-56,0.93,0.0,9,1,200,0
2026-01-01T18:24:19.221214,2,0,1,-45,0.79,0.9,7,1,2000,0
2026-01-01T18:24:20.102623,1,0,1,-55,0.93,0.0,9,0,200,1
2026-01-01T18:24:21.929214,2,0,3,-45,0.79,1.0,7,1,200,0
2026-01-01T18:24:22.609929,1,0,3,-56,0.93,0.1,9,0,0,1
2026-01-01T18:24:25.210011,1,0,2,-55,0.93,0.1,9,1,100,0
2026-01-01T18:24:25.432281,2,0,2,-44,0.79,1.0,7,0,1000,1
2026-01-01T18:24:27.718007,1,0,3,-56,0.93,0.1,9,1,0,0
2026-01-01T18:24:29.940133,2,0,1,-46,0.79,0.9,7,1,2000,0
2026-01-01T18:24:30.223784,1,0,3,-57,0.93,0.2,9,0,0,1
2026-01-01T18:24:32.925751,1,0,1,-55,0.93,0.3,9,1,200,0
2026-01-01T18:24:33.449739,2,0,2,-45,0.79,0.9,7,0,1000,1
2026-01-01T18:24:35.629606,1,0,2,-56,0.93,0.3,9,1,200,0
2026-01-01T18:24:36.958119,2,0,2,-46,0.79,0.8,7,1,1000,0
2026-01-01T18:24:38.334395,1,0,2,-56,0.93,0.3,9,1,200,0
2026-01-01T18:24:39.667394,2,0,3,-46,0.79,0.7,7,1,200,0
2026-01-01T18:24:40.940340,1,0,3,-57,0.93,0.4,9,1,100,0
2026-01-01T18:24:43.173443,2,0,1,-46,0.79,0.7,7,1,1000,0
2026-01-01T18:24:43.647378,1,0,2,-56,0.93,0.4,9,0,200,1
2026-01-01T18:24:45.884197,2,0,3,-46,0.79,0.6,7,1,200,0
2026-01-01T18:24:46.648432,1,0,1,-57,0.93,0.4,9,0,500,1
2026-01-01T18:24:48.886466,2,0,1,-45,0.79,0.5,7,1,500,0
2026-01-01T18:24:49.357703,1,0,1,-56,0.93,0.3,9,0,200,1
2026-01-01T18:24:51.897505,2,0,1,-46,0.79,0.5,7,1,500,0
2026-01-01T18:24:52.061121,1,0,1,-56,0.93,0.3,9,0,200,1
2026-01-01T18:24:54.566588,1,0,3,-56,0.93,0.3,9,1,0,0
2026-01-01T18:24:54.604385,2,0,2,-45,0.79,0.4,7,0,200,1
2026-01-01T18:24:57.075848,1,0,3,-56,0.93,0.3,9,1,0,0
2026-01-01T18:24:57.313657,2,0,2,-45,0.79,0.3,7,0,200,1
2026-01-01T18:24:59.579793,1,0,3,-57,0.93,0.3,9,1,0,0
